30,Very crowded but we did get seated quickly. Barely any service. My meal was ok. It was fine… but nothing special! very busy area
50,"We love a HardRock Cafe and this one doesn’t disappoint either, lovely food, friendly staff. Great atmosphere to suit all for sure and on the way out a great gift shop to grab your merchandise. The restaurant/bar does get busy but considering it’s located at Times Square you can’t expect anything different-food was still served in a quick manner and didn’t feel crowded."
50,"My friend and I dinned at the Hard Rock Cafe in Times Square after a day of exploring around the city. We checked the website and the only available reservation was at 10:30. We decided to try our luck and see if we could get seats at the bar and we were able to walk right in and sit immediately. We were approached almost immediately and ordered drinks and food. The bartenders were helpful and hustling. The entire experience was above and beyond, especially with a fully packed restaurant! For NYC, the food prices are very reasonable and drinks are delicious! My friend order the nachos as her dinner and it was a huge portion. My burger was cooked perfect! Everyone in the giftshop were awesome as well. We will be back on future trips!"
50,Was staying at Hard Rock Hotel and to complete the experience we booked the Cafe for actual anniversary night. Lovely experience. Fajitas amazing and Luis brought us more tortillas. Cheeseburger was great. Tropical Margarita a must. Lovely ice cream surprise as we’d said it was our anniversary. Table was good and restaurant v busy. Bit strange to check in there were people milling about everywhere perhaps they were waiting for tables. The hosts were busy answering phone too and not that friendly but once in the restaurant staff were great. We booked online about a week before.
50,We was in NYC for our anniversary and whilst out there we decided to go in and try it as we had tried others around Europe.  We didn’t book and was allowed a walk in entry and the atmosphere was great and place was buzzing.  Our server Shane was brilliant and really pleasant  The portion of our burgers was big and generous.  You get asked on how you want your burger done as rare medium well done  The desert portions are massive and taste awesome.  I always wanted to eat here when visiting NY so wasn’t disappointed  Each experience will differ on what your expectations are.  Enjoy the experience as lots of memorabilia to see
40,"Myself and my daughter had prebooked for our first night in nyc, luckily we did as its a very busy place We we seated when we arrived, food and drinks were very good as you would expect from any Hard Rock cafe Stopped in the rock shop on the way out and purchased a pin. Would definitely recommend here to anyone visiting nyc, but prebook."
10,"We booked at the HRC New York for a family evening out. Only three of the four meals ordered arrived, of which one was served cold!. We finished up with one of the family not getting their meal before the others had finished. All in all a total spoilt evening"
30,"Visited February 12th 2023. When we got to the hostess table we waited five minutes while the two staff members working the area finished up the conversation they were having about the Super Bowl. Wasn't until a person who seemed to be a supervisor arrived on the scene that they stopped chatting and offered to help us. Was told there was a 30 minute wait for a table, we accepted this and stood in the wait area. A waitress walking passed asked if we were waiting for a table and told us to follow her into the restaurant. It was empty save for approx 4 tables who had guests at them, so what the 30 minute wait time was about, I'm not sure. Our waitress was super friendly and great at her job. She was happy to offer recommendations for food and suggestions for drinks. Food was hot, tasty and plentiful and not too overly priced considering the location. Desserts were fabulous and HUGE, suggest getting one to share. Would recommend trying Hard Rock Cafe NYC for the experience, would I go back? Probably not. The staff working the hostess desk let it down."
50,Had a fantastic afternoon. Food was great Staff were fab. D j and waitress attentive and helpful. My friend and I booked the bottomless brunch and upgraded to cocktails. Couldn’t have been better! Well done hrc!
40,"So from the outside it looked okay. Inside was detailed with some lovely memorabilia from artists present and past.  Our waiter was pleasant enough, but when it came to paying he seemed disheartened with our tip. We gave him 20% of the bill, but as soon as he checked it he no longer engaged with us. I found this disgustingly rude, we're all not Hollywood A listers that can throw money around. We're simply tourists but from a hard working background. Some of these waiters need to understand we also have mortgages and bills to pay back home aswell.  Onto the food, personally I found the pricing very fair. We paid around $60 for 2 meals and drinks, this also included the Hurricane souvenir glass. All in all a pleasant experience, bar the service at the end. Just stick to what you can afford to tip."
